iter	Passed	Remaining
0	138	21750
1	142	11090
2	146	7560
3	150	5805
4	154	4723
5	158	4014
6	162	3503
7	164	3083
8	166	2748
9	169	2508
10	173	2319
11	177	2162
12	179	2001
13	180	1859
14	183	1750
15	186	1653
16	188	1564
17	190	1484
18	192	1410
19	195	1345
20	196	1283
21	198	1226
22	199	1173
23	201	1125
24	203	1080
25	204	1038
26	205	999
27	207	962
28	208	928
29	210	897
30	211	866
31	212	838
32	214	810
33	215	784
34	216	759
35	217	736
36	218	714
37	219	693
38	220	673
39	221	654
40	222	636
41	224	618
42	225	603
43	226	587
44	227	572
45	229	557
46	230	543
47	231	529
48	232	516
49	233	503
50	234	491
51	235	480
52	236	468
53	237	457
54	238	447
55	240	437
56	241	427
57	242	418
58	243	408
59	244	399
60	245	391
61	247	382
62	248	374
63	249	366
64	250	358
65	251	350
66	252	343
67	253	335
68	254	328
69	256	321
70	257	315
71	258	308
72	259	302
73	260	295
74	261	289
75	262	283
76	263	277
77	265	271
78	266	266
79	267	260
80	268	255
81	269	249
82	270	244
83	272	239
84	273	234
85	274	229
86	275	225
87	276	220
88	278	215
89	279	210
90	280	206
91	281	201
92	282	197
93	283	193
94	284	188
95	285	184
96	287	180
97	288	176
98	289	172
99	290	168
100	291	164
101	293	160
102	294	157
103	295	153
104	296	149
105	297	146
106	298	142
107	299	138
108	301	135
109	302	131
110	303	128
111	304	125
112	305	121
113	307	118
114	308	115
115	309	112
116	310	108
117	311	105
118	312	102
119	313	99
120	315	96
121	316	93
122	317	90
123	318	87
124	320	84
125	321	81
126	322	78
127	323	75
128	324	72
129	325	70
130	326	67
131	327	64
132	329	61
133	330	59
134	331	56
135	332	53
136	333	51
137	334	48
138	336	45
139	337	43
140	338	40
141	339	38
142	340	35
143	341	33
144	343	30
145	344	28
146	345	25
147	346	23
148	347	20
149	348	18
150	350	16
151	351	13
152	352	11
153	353	9
154	355	6
155	356	4
156	357	2
157	358	0
