label,label_repr,count,stripped,has_leading_or_trailing_space,open_paren,close_paren
없음,'없음',370,없음,False,0,0
ADsP,'ADsP',158,ADsP,False,0,0
SQLD,'SQLD',96,SQLD,False,0,0
구글 애널리스트,'구글 애널리스트',18,구글 애널리스트,False,0,0
정보처리기사,'정보처리기사',16,정보처리기사,False,0,0
빅데이터 분석 기사,'빅데이터 분석 기사',9,빅데이터 분석 기사,False,0,0
컴퓨터활용능력,'컴퓨터활용능력',3,컴퓨터활용능력,False,0,0
기타,'기타',3,기타,False,0,0
준비중: SQLD,'준비중: SQLD',2,준비중: SQLD,False,0,0
준비중,'준비중',2,준비중,False,0,0
준비중: ADsP,'준비중: ADsP',1,준비중: ADsP,False,0,0
AWS,'AWS',1,AWS,False,0,0
태블로,'태블로',1,태블로,False,0,0
