label,label_repr,count,stripped,has_leading_or_trailing_space,open_paren,close_paren
"B. 기획 , 전략 , 경영 직무,","'B. 기획 , 전략 , 경영 직무,'",187,"B. 기획 , 전략 , 경영 직무,",False,0,0
"A. 금융 , 보험 직무,","'A. 금융 , 보험 직무,'",157,"A. 금융 , 보험 직무,",False,0,0
"H. 마케터 , 영업관리","'H. 마케터 , 영업관리'",135,"H. 마케터 , 영업관리",False,0,0
"F. PM , 서비스 기획자","'F. PM , 서비스 기획자'",115,"F. PM , 서비스 기획자",False,0,0
D. 소프트웨어 개발자,'D. 소프트웨어 개발자',93,D. 소프트웨어 개발자,False,0,0
G. 자연과학계열 연구자,'G. 자연과학계열 연구자',83,G. 자연과학계열 연구자,False,0,0
"D. 소프트웨어 개발자,","'D. 소프트웨어 개발자,'",78,"D. 소프트웨어 개발자,",False,0,0
"B. 기획 , 전략 , 경영 직무","'B. 기획 , 전략 , 경영 직무'",75,"B. 기획 , 전략 , 경영 직무",False,0,0
"A. 금융 , 보험 직무","'A. 금융 , 보험 직무'",63,"A. 금융 , 보험 직무",False,0,0
"F. PM , 서비스 기획자,","'F. PM , 서비스 기획자,'",60,"F. PM , 서비스 기획자,",False,0,0
"E. UI,UX 디자이너,","'E. UI,UX 디자이너,'",40,"E. UI,UX 디자이너,",False,0,0
"C. MD,","'C. MD,'",37,"C. MD,",False,0,0
"E. UI,UX 디자이너","'E. UI,UX 디자이너'",29,"E. UI,UX 디자이너",False,0,0
"G. 자연과학계열 연구자,","'G. 자연과학계열 연구자,'",9,"G. 자연과학계열 연구자,",False,0,0
C. MD,'C. MD',5,C. MD,False,0,0
