label,label_repr,count,stripped,has_leading_or_trailing_space,open_paren,close_paren
"M. 전문, 과학 및 기술 서비스업","'M. 전문, 과학 및 기술 서비스업'",148,"M. 전문, 과학 및 기술 서비스업",False,0,0
"J. 정보통신업,","'J. 정보통신업,'",141,"J. 정보통신업,",False,0,0
K. 금융 및 보험업,'K. 금융 및 보험업',126,K. 금융 및 보험업,False,0,0
"K. 금융 및 보험업,","'K. 금융 및 보험업,'",95,"K. 금융 및 보험업,",False,0,0
U. 국제 및 외국기관,'U. 국제 및 외국기관',75,U. 국제 및 외국기관,False,0,0
J. 정보통신업,'J. 정보통신업',74,J. 정보통신업,False,0,0
"R. 예술, 스포츠 및 여가관련 서비스업","'R. 예술, 스포츠 및 여가관련 서비스업'",68,"R. 예술, 스포츠 및 여가관련 서비스업",False,0,0
"M. 전문, 과학 및 기술 서비스업,","'M. 전문, 과학 및 기술 서비스업,'",64,"M. 전문, 과학 및 기술 서비스업,",False,0,0
"C. 제조업,","'C. 제조업,'",29,"C. 제조업,",False,0,0
"G. 도매 및 소매업,","'G. 도매 및 소매업,'",23,"G. 도매 및 소매업,",False,0,0
C. 제조업,'C. 제조업',22,C. 제조업,False,0,0
"O. 공공 행정, 국방 및 사회보장 행정,","'O. 공공 행정, 국방 및 사회보장 행정,'",21,"O. 공공 행정, 국방 및 사회보장 행정,",False,0,0
"O. 공공 행정, 국방 및 사회보장 행정","'O. 공공 행정, 국방 및 사회보장 행정'",19,"O. 공공 행정, 국방 및 사회보장 행정",False,0,0
"R. 예술, 스포츠 및 여가관련 서비스업,","'R. 예술, 스포츠 및 여가관련 서비스업,'",19,"R. 예술, 스포츠 및 여가관련 서비스업,",False,0,0
P. 교육 서비스업,'P. 교육 서비스업',18,P. 교육 서비스업,False,0,0
Q. 보건업 및 사회복지 서비스업,'Q. 보건업 및 사회복지 서비스업',16,Q. 보건업 및 사회복지 서비스업,False,0,0
"P. 교육 서비스업,","'P. 교육 서비스업,'",14,"P. 교육 서비스업,",False,0,0
"N. 사업시설 관리, 사업 지원 및 임대 서비스업,","'N. 사업시설 관리, 사업 지원 및 임대 서비스업,'",11,"N. 사업시설 관리, 사업 지원 및 임대 서비스업,",False,0,0
"S. 협회 및 단체, 수리 및 기타 개인 서비스업","'S. 협회 및 단체, 수리 및 기타 개인 서비스업'",11,"S. 협회 및 단체, 수리 및 기타 개인 서비스업",False,0,0
"Q. 보건업 및 사회복지 서비스업,","'Q. 보건업 및 사회복지 서비스업,'",10,"Q. 보건업 및 사회복지 서비스업,",False,0,0
"I. 숙박 및 음식점업,","'I. 숙박 및 음식점업,'",9,"I. 숙박 및 음식점업,",False,0,0
"H. 운수 및 창고업,","'H. 운수 및 창고업,'",9,"H. 운수 및 창고업,",False,0,0
"L. 부동산업,","'L. 부동산업,'",7,"L. 부동산업,",False,0,0
"D. 전기, 가스, 증기 및 공기 조절 공급업,","'D. 전기, 가스, 증기 및 공기 조절 공급업,'",6,"D. 전기, 가스, 증기 및 공기 조절 공급업,",False,0,0
"F. 건설업,","'F. 건설업,'",5,"F. 건설업,",False,0,0
"S. 협회 및 단체, 수리 및 기타 개인 서비스업,","'S. 협회 및 단체, 수리 및 기타 개인 서비스업,'",5,"S. 협회 및 단체, 수리 및 기타 개인 서비스업,",False,0,0
G. 도매 및 소매업,'G. 도매 및 소매업',4,G. 도매 및 소매업,False,0,0
"E. 수도, 하수 및 폐기물 처리, 원료 재생업,","'E. 수도, 하수 및 폐기물 처리, 원료 재생업,'",3,"E. 수도, 하수 및 폐기물 처리, 원료 재생업,",False,0,0
L. 부동산업,'L. 부동산업',3,L. 부동산업,False,0,0
"N. 사업시설 관리, 사업 지원 및 임대 서비스업","'N. 사업시설 관리, 사업 지원 및 임대 서비스업'",3,"N. 사업시설 관리, 사업 지원 및 임대 서비스업",False,0,0
F. 건설업,'F. 건설업',2,F. 건설업,False,0,0
"A. 농업, 임업 및 어업","'A. 농업, 임업 및 어업'",2,"A. 농업, 임업 및 어업",False,0,0
H. 운수 및 창고업,'H. 운수 및 창고업',2,H. 운수 및 창고업,False,0,0
T. 가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,'T. 가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동',2,T. 가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,False,0,0
"A. 농업, 임업 및 어업,","'A. 농업, 임업 및 어업,'",1,"A. 농업, 임업 및 어업,",False,0,0
I. 숙박 및 음식점업,'I. 숙박 및 음식점업',1,I. 숙박 및 음식점업,False,0,0
"D. 전기, 가스, 증기 및 공기 조절 공급업","'D. 전기, 가스, 증기 및 공기 조절 공급업'",1,"D. 전기, 가스, 증기 및 공기 조절 공급업",False,0,0
"E. 수도, 하수 및 폐기물 처리, 원료 재생업","'E. 수도, 하수 및 폐기물 처리, 원료 재생업'",1,"E. 수도, 하수 및 폐기물 처리, 원료 재생업",False,0,0
