label,count
"M. 전문, 과학 및 기술 서비스업",148
"J. 정보통신업,",141
K. 금융 및 보험업,126
"K. 금융 및 보험업,",95
U. 국제 및 외국기관,75
J. 정보통신업,74
"R. 예술, 스포츠 및 여가관련 서비스업",68
"M. 전문, 과학 및 기술 서비스업,",64
"C. 제조업,",29
"G. 도매 및 소매업,",23
C. 제조업,22
"O. 공공 행정, 국방 및 사회보장 행정,",21
"O. 공공 행정, 국방 및 사회보장 행정",19
"R. 예술, 스포츠 및 여가관련 서비스업,",19
P. 교육 서비스업,18
Q. 보건업 및 사회복지 서비스업,16
"P. 교육 서비스업,",14
"N. 사업시설 관리, 사업 지원 및 임대 서비스업,",11
"S. 협회 및 단체, 수리 및 기타 개인 서비스업",11
"Q. 보건업 및 사회복지 서비스업,",10
"I. 숙박 및 음식점업,",9
"H. 운수 및 창고업,",9
"L. 부동산업,",7
"D. 전기, 가스, 증기 및 공기 조절 공급업,",6
"F. 건설업,",5
"S. 협회 및 단체, 수리 및 기타 개인 서비스업,",5
G. 도매 및 소매업,4
"E. 수도, 하수 및 폐기물 처리, 원료 재생업,",3
L. 부동산업,3
"N. 사업시설 관리, 사업 지원 및 임대 서비스업",3
F. 건설업,2
"A. 농업, 임업 및 어업",2
H. 운수 및 창고업,2
T. 가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동,2
"A. 농업, 임업 및 어업,",1
I. 숙박 및 음식점업,1
"D. 전기, 가스, 증기 및 공기 조절 공급업",1
"E. 수도, 하수 및 폐기물 처리, 원료 재생업",1
