label,label_repr,count,stripped,has_leading_or_trailing_space,open_paren,close_paren
"데이터 시각화 (Matplotlib, Seaborn 등)","'데이터 시각화 (Matplotlib, Seaborn 등)'",350,"데이터 시각화 (Matplotlib, Seaborn 등)",False,1,1
머신러닝,'머신러닝',315,머신러닝,False,0,0
딥러닝 응용,'딥러닝 응용',315,딥러닝 응용,False,0,0
Python 응용,'Python 응용',265,Python 응용,False,0,0
SQL 응용,'SQL 응용',211,SQL 응용,False,0,0
웹 크롤링,'웹 크롤링',155,웹 크롤링,False,0,0
테블로,'테블로',1,테블로,False,0,0
태블로 학습,'태블로 학습',1,태블로 학습,False,0,0
태블로,'태블로',1,태블로,False,0,0
Power Bi 강연,'Power Bi 강연',1,Power Bi 강연,False,0,0
데이터 엔지니어링(파이프라인설계),'데이터 엔지니어링(파이프라인설계)',1,데이터 엔지니어링(파이프라인설계),False,1,1
포트폴리오 A to Z,'포트폴리오 A to Z',1,포트폴리오 A to Z,False,0,0
공모전 수상 tip,'공모전 수상 tip',1,공모전 수상 tip,False,0,0
구글 애널리틱스,'구글 애널리틱스',1,구글 애널리틱스,False,0,0
CNN,'CNN',1,CNN,False,0,0
RNN과 같이 심화된 내용으로 시야를  넓히고 싶습니다. 또는 chatgpt 활용,'RNN과 같이 심화된 내용으로 시야를  넓히고 싶습니다. 또는 chatgpt 활용',1,RNN과 같이 심화된 내용으로 시야를  넓히고 싶습니다. 또는 chatgpt 활용,False,0,0
powebi 같은 학교 수업에서 듣지 못하는 수업을 듣고 싶습니다,'powebi 같은 학교 수업에서 듣지 못하는 수업을 듣고 싶습니다',1,powebi 같은 학교 수업에서 듣지 못하는 수업을 듣고 싶습니다,False,0,0
